선정차수,번호,지역,상호,주소,상표,셀프여부
2차,A0031652,울산 울주군,능산주유소,울산 울주군 상북면 상북로 90,SK에너지,일반
2차,A0031526,울산 중구,울산주유소,울산 중구 구교로 83 (학성동),S-OIL,셀프
2차,A0033346,인천 옹진군,자월주유소,인천 옹진군 자월면 자월동로 38,SK에너지,일반
2차,A0001299,인천 옹진군,선재주유소,인천 옹진군 영흥면 선재로 123,GS칼텍스,일반
2차,A0004684,인천 부평구,장수셀프(self)주유소,인천 부평구 백범로 502,SK에너지,셀프
2차,A0006273,인천 연수구,HD현대오일뱅크㈜직영 인천대교주유소,인천 연수구 아암대로 815 (동춘동),HD현대오일뱅크,일반
2차,A0021472,전남 진도군,수정주유소,전남 진도군 진도읍 진도대로 7290,GS칼텍스,일반
2차,A0019638,전남 곡성군,석곡농협죽곡지점주유소,전남 곡성군 죽곡면 대황강로 796,NH-OIL,일반
2차,A0019823,전남 담양군,무등주유소,전남 담양군 가사문학면 장단길 12-2,HD현대오일뱅크,일반
2차,A0021486,전남 진도군,덕천주유소,전남 진도군 고군면 진도대로 385,HD현대오일뱅크,일반
2차,A0018385,전북 익산시,여산주유소,전북 익산시 여산면 호남로 1428-10,GS칼텍스,일반
2차,A0018455,전북 익산시,여산천호주유소,전북 익산시 여산면 가람로 174,자가상표,일반
2차,A0018761,전북 정읍시,신태인주유소,전북 정읍시 신태인읍 말목장터로 990,GS칼텍스,일반
2차,A0018979,전북 정읍시,한결주유소,전북 정읍시 고부면 영주로 316,GS칼텍스,셀프
2차,A0031101,제주 제주시,구좌농협우도지점주유소,제주 제주시 우도면 우도로 147,NH-OIL,일반
2차,A0031040,제주 서귀포,서귀주유소,제주특별자치도 서귀포시 중정로 122 (,SK에너지,일반
2차,A0031018,제주 서귀포,대포주유소,제주 서귀포시 일주서로 559 (대포동),S-OIL,셀프
2차,A0033363,제주 서귀포,성산일출봉농협주유소,제주 서귀포시 성산읍 일주동로 4521,NH-OIL,일반
2차,A0031088,제주 서귀포,토평주유소,제주 서귀포시 중산간동로 7801,알뜰주유소,일반
2차,A0016365,충남 보령시,명진주유소,충남 보령시 미산면 만수로 1124,GS칼텍스,일반
2차,A0012506,충북 진천군,(주)성진티엘에스주유소,충북 진천군 덕산면 진성로 554,HD현대오일뱅크,일반
